        X            Y    
29.602195 12.723785       
31.423868 12.787724       
32.562414 12.276215       
33.70096 11.57289         
35.294925 10.997442       
37.572016 9.9744246       
38.938272 9.2710997       
42.1262 8.5677749         
44.175583 7.8644501       
45.541838 7.0971867       
47.363512 6.0102302       
49.640604 5.6265985       
52.145405 5.1790281       
54.422497 4.859335        
56.699588 4.9232737       
58.521262 4.7953964       
61.253772 4.7953964       
62.847737 5.2429668       
64.897119 5.2429668       
67.62963 5.1790281        
70.36214 5.4987212        
73.777778 5.7544757       
76.05487 6.0102302        
79.015089 6.3299233       
81.292181 6.4578005       
84.024691 6.5856777       
86.529492 6.9693095       
89.262003 7.1611253       
92.222222 7.4808184       
94.499314 7.6726343       
97.687243 7.7365729       
100.19204 7.9923274       
102.46914 8.1202046       
104.74623 8.1841432       
107.25103 8.2480818       
108.84499 8.1841432       
109.52812 7.6726343       
109.98354 7.0332481       
110.43896 6.5856777       
111.34979 5.8823529       
112.48834 5.370844        
113.62689 4.859335        
114.99314 4.6675192       
116.58711 4.3478261       
118.40878 4.1560102       
120.45816 4.028133        
122.50754 3.8363171       
124.78464 3.8363171       
126.3786 3.7723785        
128.42798 3.7723785       
130.24966 3.9002558       
131.84362 4.2199488       
133.66529 4.6675192       
135.25926 5.3069054       
135.71468 5.8823529       
136.39781 6.5856777       
136.85322 7.2890026       
137.99177 7.8644501       
138.90261 8.3120205       
139.81344 9.1432225       
140.04115 9.7186701       
140.72428 10.549872       
141.40741 11.253197       
142.31824 11.892583       
143.22908 12.97954        
144.36763 13.491049       
145.27846 14.322251       
146.41701 14.897698       
147.55556 15.601023       
148.01097 16.240409       
148.6941 16.751918        
149.60494 16.432225       
150.28807 16.048593       
151.88203 15.601023       
152.56516 15.28133        
154.84225 15.28133        
153.93141 15.217391       
156.66392 15.345269       
157.57476 15.345269       
242.51029 -6.3938619      
