Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
8520592,7,28,0.53,2,8,0.15,1,4
8535593,2,8,0.15,2,8,0.15,1,4
8550594,0,0,0.00,2,8,0.15,0,0
8565595,2,8,0.15,2,8,0.15,0,0
8580596,1,4,0.08,3,12,0.23,0,0
8595597,0,0,0.0,0,0,0.00,0,0
8610598,0,0,0.00,0,0,0.00,0,0
8625599,0,0,0.00,2,8,0.15,0,0
8640600,1,4,0.08,0,0,0.0,1,4
8655601,0,0,0.0,1,4,0.08,0,0
8670602,1,4,0.08,2,8,0.15,1,4
8685603,4,16,0.30,3,12,0.23,1,4
8700604,1,4,0.08,2,8,0.15,0,0
8715606,2,8,0.15,1,4,0.08,1,4
8730607,1,4,0.08,1,4,0.08,0,0
8745608,0,0,0.00,2,8,0.15,0,0
8760609,0,0,0.0,0,0,0.0,1,4
8775610,0,0,0.00,3,12,0.23,0,0
8790611,1,4,0.08,3,12,0.23,1,4
8805612,2,8,0.15,1,4,0.08,1,4
8820613,1,4,0.08,1,4,0.08,0,0
8835614,2,8,0.15,0,0,0.00,0,0
8850615,1,4,0.08,0,0,0.00,0,0
8865616,0,0,0.00,0,0,0.00,0,0
8880617,0,0,0.0,1,4,0.08,1,4
8895618,1,4,0.08,2,8,0.15,0,0
8910619,0,0,0.00,1,4,0.08,0,0
8925620,2,8,0.15,1,4,0.08,1,4
8940621,0,0,0.00,1,4,0.08,0,0
8955622,1,4,0.08,2,8,0.15,0,0
8970624,0,0,0.00,2,8,0.15,0,0
8985625,2,8,0.15,1,4,0.08,0,0
9000626,2,8,0.15,0,0,0.00,0,0
9015627,1,4,0.08,1,4,0.08,0,0
9030628,0,0,0.00,0,0,0.00,0,0
9045629,1,4,0.08,1,4,0.08,0,0
9060630,1,4,0.08,1,4,0.08,0,0
9075631,3,12,0.23,4,16,0.30,1,4
9090632,2,8,0.15,1,4,0.08,1,4
9105633,0,0,0.00,0,0,0.00,0,0
9120634,0,0,0.0,0,0,0.0,0,0
9135635,0,0,0.0,0,0,0.0,0,0
9150636,1,4,0.08,0,0,0.00,0,0
9165637,0,0,0.00,2,8,0.15,0,0
9180638,0,0,0.0,1,4,0.08,0,0
9195639,0,0,0.0,0,0,0.0,0,0
9210640,0,0,0.00,2,8,0.15,0,0
9225641,1,4,0.08,0,0,0.00,0,0
9240642,0,0,0.00,3,12,0.23,0,0
9255643,3,12,0.23,0,0,0.00,0,0
9270644,1,4,0.08,1,4,0.08,0,0
9285645,2,8,0.15,2,8,0.15,0,0
9300646,0,0,0.00,0,0,0.00,0,0
9315647,0,0,0.0,0,0,0.0,0,0
9330648,0,0,0.0,0,0,0.0,0,0
9345649,2,8,0.15,3,12,0.23,0,0
9360650,0,0,0.00,0,0,0.00,0,0
9375651,0,0,0.0,0,0,0.0,0,0
9390652,0,0,0.0,0,0,0.0,0,0
9405654,0,0,0.0,0,0,0.0,0,0
9420655,0,0,0.0,0,0,0.0,1,4
9435656,0,0,0.0,0,0,0.0,0,0
9450657,0,0,0.0,0,0,0.0,0,0
9465658,0,0,0.00,0,0,0.00,0,0
