Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
2010139,0,0,0.0,20,80,1.51,0,0
2025140,0,0,0.0,0,0,0.0,1,4
2040141,0,0,0.0,16,64,1.21,0,0
2055142,0,0,0.0,24,96,1.81,2,8
2070144,27,108,2.04,0,0,0.0,1,4
2085145,26,104,1.96,0,0,0.0,2,8
2100146,0,0,0.0,24,96,1.81,3,12
2115147,0,0,0.0,0,0,0.0,1,4
2130148,0,0,0.0,0,0,0.0,0,0
2145149,15,60,1.13,17,68,1.28,2,8
2160150,0,0,0.0,0,0,0.0,1,4
2175151,0,0,0.0,28,112,2.11,2,8
2190152,0,0,0.0,0,0,0.0,1,4
2205153,23,92,1.73,30,120,2.26,4,16
2220154,0,0,0.0,0,0,0.0,4,16
2235155,18,72,1.36,0,0,0.0,1,4
2250156,0,0,0.0,0,0,0.0,0,0
2265157,0,0,0.0,0,0,0.0,1,4
2280158,0,0,0.0,0,0,0.0,2,8
2295159,24,96,1.81,0,0,0.0,0,0
2310160,0,0,0.0,0,0,0.0,1,4
2325161,0,0,0.0,0,0,0.0,5,20
2340162,0,0,0.0,0,0,0.0,5,20
2355163,29,116,2.19,0,0,0.0,2,8
2370164,0,0,0.0,26,104,1.96,0,0
2385165,0,0,0.0,0,0,0.0,2,8
2400166,34,136,2.56,0,0,0.0,2,8
2415167,0,0,0.0,0,0,0.0,0,0
2430168,0,0,0.0,0,0,0.0,0,0
2445169,0,0,0.0,0,0,0.0,1,4
2460170,0,0,0.0,0,0,0.0,2,8
2475171,0,0,0.0,0,0,0.0,0,0
2490172,42,168,3.17,0,0,0.0,3,12
2505174,0,0,0.0,31,124,2.34,1,4
2520175,29,116,2.19,0,0,0.0,5,20
2535176,0,0,0.0,0,0,0.0,2,8
2550177,0,0,0.0,29,116,2.19,0,0
2565178,32,128,2.41,0,0,0.0,1,4
2580179,34,136,2.56,0,0,0.0,1,4
2595180,0,0,0.0,0,0,0.0,0,0
2610181,21,84,1.58,0,0,0.0,2,8
2625182,0,0,0.0,0,0,0.0,1,4
2640183,0,0,0.0,0,0,0.0,0,0
2655184,0,0,0.0,0,0,0.0,3,12
2670185,0,0,0.0,0,0,0.0,0,0
2685186,0,0,0.0,0,0,0.0,0,0
2700187,0,0,0.0,0,0,0.0,0,0
2715188,0,0,0.0,0,0,0.0,1,4
2730189,0,0,0.0,40,160,3.02,0,0
2745190,0,0,0.0,0,0,0.0,0,0
2760192,0,0,0.0,0,0,0.0,0,0
2775193,0,0,0.0,0,0,0.0,0,0
2790194,0,0,0.0,0,0,0.0,2,8
2805195,0,0,0.0,0,0,0.0,0,0
2820196,0,0,0.0,0,0,0.0,0,0
2835197,0,0,0.0,0,0,0.0,3,12
2850198,0,0,0.0,0,0,0.0,0,0
2865199,0,0,0.0,0,0,0.0,1,4
2880200,0,0,0.0,0,0,0.0,1,4
2895201,0,0,0.0,0,0,0.0,4,16
2910202,0,0,0.0,0,0,0.0,0,0
2925203,39,156,2.94,32,128,2.41,3,12
2940204,0,0,0.0,0,0,0.0,1,4
2955205,35,140,2.64,0,0,0.0,1,4
2970206,0,0,0.0,0,0,0.0,2,8
2985207,0,0,0.0,0,0,0.0,10,40
3000208,0,0,0.0,0,0,0.0,1,4
3015209,0,0,0.0,0,0,0.0,1,4
3030210,0,0,0.0,41,164,3.09,0,0
3045211,0,0,0.0,0,0,0.0,1,4
3060212,0,0,0.0,0,0,0.0,2,8
3075213,0,0,0.0,0,0,0.0,0,0
3090214,0,0,0.0,0,0,0.0,1,4
3105215,0,0,0.0,47,188,3.55,3,12
3120216,54,216,4.07,0,0,0.0,4,16
3135217,0,0,0.0,0,0,0.0,2,8
3150218,40,160,3.02,0,0,0.0,0,0
3165219,0,0,0.0,0,0,0.0,0,0
3180220,0,0,0.0,0,0,0.0,1,4
3195222,0,0,0.0,0,0,0.0,2,8
3210223,0,0,0.0,0,0,0.0,1,4
3225224,0,0,0.0,0,0,0.0,1,4
3240225,0,0,0.0,0,0,0.0,0,0
3255226,0,0,0.0,0,0,0.0,1,4
