Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
499,33.50,32.62,35.84,12.26,-0.512,0.006
1003,40.53,33.50,38.68,12.04,-0.497,-0.053
1507,37.01,24.70,37.73,12.20,-0.675,-0.024
2011,33.50,33.50,38.99,12.11,-0.527,0.065
2514,33.50,35.26,35.84,12.26,-0.631,-0.024
3018,32.62,33.50,34.58,12.26,-0.705,-0.157
3522,22.06,45.81,34.89,12.18,-0.423,-0.127
4025,38.77,30.86,37.10,12.46,-0.512,-0.172
4529,36.13,33.50,35.21,12.35,-0.468,-0.231
5032,37.01,33.50,36.16,12.31,-0.601,-0.261
5536,37.89,33.50,36.31,12.29,-0.542,0.080
6040,39.65,34.38,35.05,12.27,-0.601,-0.127
6544,37.89,33.50,36.00,12.27,-0.660,0.065
7048,36.13,33.50,36.31,12.29,-0.675,0.036
7552,37.01,33.50,36.00,12.27,-0.557,0.125
8055,37.01,32.62,36.00,12.27,-0.601,0.036
8559,37.01,32.62,36.00,12.27,-0.557,0.110
9062,37.01,32.62,35.21,12.29,-1.105,0.095
9566,37.01,33.50,35.68,12.27,-1.075,0.095
10070,37.01,33.50,36.00,12.27,-1.031,-0.068
10573,37.01,32.62,36.16,12.29,-1.120,0.021
11077,38.77,32.62,35.84,12.27,-0.957,0.021
11581,37.89,32.62,36.31,12.29,-0.720,0.036
12085,34.38,31.74,35.05,12.22,-0.675,-0.038
12589,36.13,32.62,35.84,12.26,-0.601,-0.038
13092,37.89,32.62,36.00,12.27,-0.586,0.065
13596,37.01,32.62,35.68,12.27,-0.557,0.139
14100,36.13,32.62,36.47,12.26,-0.586,0.095
14604,36.13,32.62,35.84,12.27,-0.557,0.065
15108,36.13,33.50,35.68,12.27,-0.409,0.080
15611,37.01,33.50,36.16,12.27,-0.379,0.036
16115,37.01,33.50,35.52,12.29,-0.616,0.065
16618,37.89,32.62,35.84,12.27,-0.779,0.110
17122,37.89,33.50,35.84,12.29,-0.764,0.110
17626,36.13,33.50,35.52,12.29,-0.749,0.243
18129,37.01,32.62,36.00,12.27,-0.779,0.125
18633,37.01,32.62,36.00,12.27,-0.749,0.154
19137,37.89,33.50,35.84,12.27,-0.720,0.228
19641,37.89,33.50,36.00,12.27,-0.779,0.184
20145,37.89,33.50,36.47,12.27,-0.927,0.228
20648,40.53,33.50,37.57,12.33,-0.942,0.095
21152,33.50,32.62,37.73,12.20,-0.572,-0.024
21656,53.73,42.29,36.94,12.22,-0.660,-0.275
22160,41.41,31.74,35.21,12.22,-0.512,0.080
22664,37.89,33.50,36.00,12.22,-0.675,-0.216
23168,37.89,33.50,35.84,12.27,-0.586,0.021
23671,31.74,32.62,35.52,12.09,-0.616,-0.024
24175,37.89,33.50,35.52,12.27,-0.601,-0.098
24679,37.89,33.50,35.84,12.27,-0.527,-0.127
25183,37.89,33.50,36.00,12.27,-0.557,-0.112
25687,37.89,33.50,35.84,12.27,-0.631,-0.053
26189,37.89,33.50,36.31,12.27,-0.646,0.006
26693,37.89,33.50,35.84,12.27,-0.660,-0.009
27197,37.89,33.50,36.31,12.29,-0.631,-0.068
27701,38.77,33.50,36.00,12.27,-0.675,-0.053
28205,37.89,33.50,35.84,12.27,-0.675,-0.009
28708,37.01,33.50,35.84,12.27,-0.646,0.036
29212,37.01,33.50,36.00,12.27,-0.631,0.021
29716,37.89,33.50,38.21,12.27,-0.616,-0.024
30220,37.01,33.50,36.00,12.27,-0.660,0.006
30724,38.77,33.50,35.68,12.27,-1.105,0.095
31227,37.89,33.50,36.00,12.27,-1.105,-0.024
31731,36.13,33.50,36.31,12.27,-1.016,0.006
32235,38.77,33.50,36.31,12.27,-1.090,0.036
32739,38.77,33.50,36.00,12.27,-0.942,0.184
33243,37.89,33.50,35.84,12.27,-0.720,0.184
33746,37.89,33.50,35.84,12.27,-0.646,0.080
34249,36.13,33.50,36.47,12.27,-0.720,0.154
34753,37.01,33.50,35.84,12.27,-0.690,0.095
35257,32.62,34.38,36.16,12.20,-0.734,0.154
35761,36.13,33.50,36.16,12.29,-0.749,0.139
36264,36.13,33.50,34.11,12.20,-0.720,0.184
36768,42.29,35.26,38.36,12.16,-0.690,-0.216
37272,40.53,38.77,39.94,12.18,-0.705,-0.216
37776,38.77,33.50,35.05,12.18,-0.690,0.021
38280,37.01,33.50,36.16,12.20,-0.586,0.021
38784,38.77,33.50,36.47,12.27,-0.749,0.213
39287,37.89,33.50,36.16,12.29,-0.764,0.065
39791,37.01,33.50,35.84,12.27,-0.809,0.125
40295,37.01,33.50,35.21,12.29,-0.720,0.095
40799,38.77,33.50,36.00,12.27,-0.764,0.095
41303,25.58,35.26,35.68,12.24,-0.868,-0.038
41806,37.01,33.50,35.37,12.29,-0.883,0.139
42309,37.89,33.50,35.68,12.27,-0.809,0.110
42813,37.89,33.50,35.68,12.27,-0.764,0.169
43317,37.01,33.50,36.16,12.29,-0.794,0.139
43821,37.89,33.50,35.52,12.29,-0.764,0.095
44324,37.89,33.50,35.68,12.27,-0.942,0.154
44828,37.01,33.50,36.00,12.27,-0.823,0.095
45332,37.89,33.50,36.31,12.29,-0.838,0.139
45836,38.77,33.50,35.52,12.27,-0.838,0.080
46340,38.77,33.50,36.00,12.27,-0.838,0.154
46843,38.77,33.50,35.68,12.15,-0.660,0.332
47347,37.89,33.50,36.31,12.29,-0.853,0.095
47851,37.89,33.50,36.16,12.27,-0.883,0.036
48355,37.01,33.50,35.37,12.27,-0.897,0.110
48859,37.89,33.50,36.31,12.27,-0.883,0.095
49362,37.89,33.50,36.00,12.27,-1.001,0.095
49866,37.01,32.62,36.00,12.27,-0.986,0.110
50369,38.77,33.50,36.00,12.27,-0.927,0.095
50873,37.01,33.50,35.84,12.27,-1.016,0.110
51377,37.01,33.50,36.00,12.27,-1.016,0.184
51880,37.01,33.50,35.68,12.27,-0.883,0.095
52384,37.01,33.50,36.16,12.27,-0.971,0.139
52888,37.01,33.50,35.37,12.27,-1.001,0.051
53392,40.53,33.50,37.73,12.35,-0.883,-0.009
53896,54.61,24.70,36.63,12.13,-1.282,0.391
54400,45.81,34.38,35.84,12.20,-1.223,0.169
54903,29.10,18.54,34.11,12.05,-0.942,0.110
55407,38.77,33.50,36.31,12.26,-1.164,-0.186
55911,37.89,33.50,36.00,12.35,-0.986,0.406
56415,38.77,33.50,36.47,12.27,-0.912,-0.009
56919,37.01,33.50,36.31,12.27,-0.942,0.095
57422,37.01,33.50,36.31,12.27,-0.986,0.154
57926,38.77,33.50,36.00,12.27,-0.927,0.199
58430,37.01,33.50,35.84,12.26,-0.912,0.095
58933,40.53,35.26,39.31,12.20,-0.853,0.154
59437,38.77,34.38,35.68,12.27,-0.957,0.110
59940,37.89,33.50,35.68,12.27,-0.942,0.080
60444,39.65,33.50,36.16,12.27,-0.957,0.125
60948,37.01,34.38,35.84,12.27,-0.912,0.169
61452,39.65,33.50,36.47,12.27,-0.957,0.095
61956,38.77,33.50,36.00,12.27,-0.927,0.139
62459,37.01,34.38,36.00,12.27,-0.927,0.110
62963,38.77,33.50,36.16,12.27,-0.927,0.065
63467,37.89,34.38,36.47,12.29,-0.912,0.095
63971,37.01,33.50,36.16,12.29,-0.942,0.095
64475,25.58,32.62,36.16,12.20,-0.734,0.184
64978,37.89,34.38,36.16,12.29,-0.942,0.095
65482,37.01,33.50,35.68,12.26,-0.942,0.110
65986,39.65,33.50,35.21,12.27,-0.912,0.184
66490,39.65,34.38,36.00,12.27,-0.897,0.065
66994,38.77,34.38,36.16,12.27,-0.942,0.051
67496,37.89,33.50,35.37,12.29,-0.957,0.080
68000,38.77,34.38,36.47,12.29,-0.986,0.154
68504,37.01,34.38,36.16,12.27,-0.942,0.080
69008,38.77,34.38,36.00,12.27,-0.986,0.125
69512,37.89,33.50,36.00,12.29,-0.957,0.095
70016,37.89,34.38,36.79,12.31,-0.986,0.065
70519,37.89,34.38,36.31,12.29,-0.957,0.051
71023,38.77,34.38,36.00,12.27,-0.897,0.125
71527,37.89,34.38,36.63,12.31,-0.838,-0.024
72031,39.65,37.89,40.57,12.16,-1.090,0.095
72535,26.46,34.38,39.78,12.13,-1.120,0.021
73038,38.77,33.50,36.79,12.26,-0.734,-0.261
73542,37.01,34.38,36.47,12.20,-0.853,-0.394
74046,38.77,33.50,36.63,12.27,-1.001,0.139
74550,37.01,34.38,36.16,12.29,-0.957,0.080
75054,39.65,34.38,36.16,12.27,-1.016,0.258
75557,38.77,34.38,36.16,12.27,-0.971,0.110
76061,38.77,34.38,36.79,12.27,-0.912,0.065
76564,37.01,34.38,36.63,12.29,-0.897,0.036
77068,38.77,33.50,35.84,12.27,-0.912,0.110
77572,37.01,34.38,36.00,12.27,-0.927,0.065
78075,37.89,34.38,36.47,12.27,-0.971,0.051
78579,37.89,34.38,35.68,12.27,-0.957,0.051
79083,40.53,34.38,35.84,12.27,-1.001,0.065
79587,37.01,34.38,36.16,12.27,-0.957,0.080
80091,39.65,34.38,36.63,12.24,-0.957,0.051
80594,37.89,34.38,36.00,12.27,-0.942,0.125
81098,37.89,34.38,35.84,12.27,-0.942,0.169
81602,37.01,34.38,36.16,12.27,-0.942,0.169
82106,44.93,32.62,39.31,12.05,-0.927,0.228
82610,37.01,34.38,36.16,12.27,-1.001,0.110
83113,40.53,34.38,36.47,12.27,-0.897,0.065
83617,38.77,34.38,36.16,12.29,-0.942,0.051
84121,37.01,34.38,36.16,12.29,-0.942,0.065
84625,38.77,34.38,36.16,12.29,-0.912,-0.009
85128,38.77,34.38,36.63,12.29,-0.957,0.036
85632,39.65,34.38,36.00,12.27,-0.927,0.036
86135,40.53,34.38,36.16,12.29,-1.001,0.095
86639,37.01,34.38,35.84,12.29,-1.001,0.154
87143,37.89,34.38,36.63,12.29,-1.001,0.080
87647,39.65,34.38,36.00,12.29,-0.986,0.021
88151,38.77,34.38,35.84,12.27,-0.927,0.006
88654,37.01,34.38,36.47,12.26,-0.942,-0.053
89158,37.01,34.38,36.31,12.29,-0.927,-0.009
89662,39.65,34.38,37.42,12.16,-1.016,-0.142
90166,20.30,35.26,40.25,12.11,-1.208,-0.320
90670,22.94,32.62,38.36,12.05,-1.016,-0.275
91173,25.58,38.77,39.78,11.89,-1.001,-0.201
91677,45.81,46.69,35.84,12.18,-0.705,-0.216
92181,38.77,34.38,36.47,12.26,-0.986,-0.024
92685,40.53,34.38,36.47,12.27,-0.912,-0.112
93189,37.01,34.38,36.00,12.27,-0.957,-0.024
93692,25.58,35.26,37.10,12.20,-1.090,-0.009
94196,37.01,34.38,36.00,12.27,-0.957,0.051
94699,37.89,34.38,36.16,12.29,-0.942,0.110
95203,37.89,34.38,36.31,12.27,-1.001,0.095
95707,38.77,34.38,36.00,12.27,-0.927,0.139
96210,37.01,34.38,36.63,12.27,-0.927,0.080
96714,39.65,34.38,36.31,12.29,-0.957,0.110
97218,38.77,34.38,36.63,12.27,-0.957,0.110
97722,38.77,34.38,36.31,12.29,-0.986,0.080
98226,37.89,34.38,36.16,12.26,-0.957,0.095
98729,37.89,34.38,36.16,12.27,-0.971,0.139
99233,40.53,35.26,35.37,12.27,-1.031,0.139
99737,39.65,34.38,36.31,12.26,-1.001,0.125
100241,37.89,35.26,36.31,12.26,-0.957,0.065
100745,38.77,34.38,36.31,12.27,-1.045,0.080
101249,39.65,34.38,36.79,12.27,-1.001,0.095
101752,38.77,34.38,36.47,12.27,-0.986,0.169
102256,38.77,34.38,36.47,12.27,-0.957,0.139
102760,37.01,34.38,36.00,12.27,-1.016,0.199
103264,39.65,35.26,36.16,12.27,-1.001,0.036
103768,37.89,34.38,36.16,12.26,-0.986,0.080
104271,37.01,34.38,36.00,12.29,-1.001,0.065
104775,32.62,35.26,36.00,12.26,-1.031,-0.098
105279,41.41,37.89,36.79,12.13,-1.090,0.258
105783,25.58,27.34,36.94,11.96,-1.001,0.065
106287,22.06,40.53,40.89,12.13,-1.031,0.302
106790,37.89,34.38,35.52,12.07,-1.149,0.021
107294,37.01,34.38,36.63,12.37,-1.016,0.362
107798,39.65,34.38,36.00,12.26,-1.001,0.095
108302,38.77,34.38,36.31,12.29,-1.045,0.169
108806,38.77,34.38,37.10,12.26,-1.060,0.080
109309,37.01,34.38,36.79,12.29,-1.016,0.125
109813,39.65,34.38,36.63,12.27,-0.971,0.036
110317,40.53,34.38,36.16,12.26,-1.001,0.065
110821,39.65,34.38,36.79,12.27,-0.971,0.095
111325,37.01,34.38,36.79,12.27,-1.001,0.051
111828,38.77,34.38,36.47,12.27,-1.001,0.125
112332,39.65,34.38,36.31,12.26,-0.986,0.125
112836,39.65,34.38,36.31,12.27,-0.971,0.036
113340,37.89,34.38,36.79,12.27,-1.001,0.036
113844,37.01,34.38,36.47,12.27,-0.942,0.139
114348,38.77,35.26,36.79,12.27,-1.016,0.065
114851,38.77,35.26,36.79,12.27,-0.986,0.036
115355,39.65,34.38,36.63,12.27,-1.016,0.110
115859,39.65,34.38,36.63,12.27,-0.927,0.095
116363,38.77,35.26,36.47,12.27,-0.986,0.125
116867,37.01,35.26,36.47,12.26,-0.971,0.051
117370,37.89,34.38,36.79,12.27,-0.986,0.110
117874,37.01,35.26,36.31,12.27,-1.001,0.051
118378,38.77,34.38,32.21,12.27,-1.016,0.184
118882,40.53,34.38,37.26,12.29,-1.060,0.110
119385,29.10,35.26,37.42,12.26,-1.031,-0.024
119888,40.53,40.53,37.89,12.13,-1.105,-0.157
120392,37.89,27.34,40.25,11.93,-0.868,0.065
120896,37.89,28.22,37.10,12.07,-1.253,0.139
121400,39.65,34.38,40.10,12.26,-0.912,-0.157
121904,38.77,34.38,36.63,12.27,-1.031,-0.053
122407,40.53,34.38,39.62,12.24,-0.942,0.213
122911,39.65,34.38,37.10,12.27,-1.031,0.036
123415,37.89,34.38,36.79,12.29,-1.001,-0.083
123919,40.53,34.38,37.42,12.27,-1.031,0.065
124423,38.77,34.38,37.26,12.29,-1.016,0.065
124926,38.77,34.38,36.94,12.29,-1.016,0.065
125430,38.77,34.38,36.94,12.29,-1.045,0.065
125934,39.65,34.38,36.79,12.29,-1.016,0.065
126438,36.13,34.38,36.47,12.27,-1.075,0.051
126942,36.13,34.38,36.63,12.29,-0.986,-0.009
127446,40.53,34.38,37.26,12.29,-1.075,0.006
127949,38.77,34.38,36.94,12.29,-1.060,0.051
128453,38.77,34.38,36.94,12.27,-1.060,0.051
128957,38.77,34.38,37.26,12.29,-1.075,0.080
129461,38.77,34.38,37.10,12.27,-1.031,0.021
129965,39.65,34.38,37.42,12.29,-1.090,0.036
130468,37.89,34.38,36.94,12.31,-1.045,0.036
130972,38.77,34.38,36.94,12.27,-1.001,0.036
131476,38.77,34.38,37.10,12.27,-0.986,0.051
131980,38.77,34.38,36.94,12.27,-0.971,0.051
132484,38.77,34.38,37.10,12.27,-1.031,0.036
132987,38.77,34.38,37.73,12.27,-1.045,0.021
133491,37.89,34.38,37.10,12.27,-1.060,0.036
133995,40.53,34.38,36.63,12.27,-1.075,0.021
134499,37.01,34.38,37.26,12.29,-1.060,0.065
135003,38.77,34.38,37.10,12.27,-0.912,0.051
135506,39.65,34.38,37.26,12.27,-1.001,0.065
136010,39.65,34.38,36.79,12.27,-1.001,0.051
136514,39.65,34.38,37.42,12.27,-1.016,-0.009
137018,40.53,35.26,37.10,12.26,-1.001,0.036
137522,41.41,34.38,37.26,12.26,-1.075,0.065
138025,35.26,34.38,37.42,12.26,-1.001,-0.083
138529,29.10,41.41,39.15,12.11,-1.312,0.332
139033,32.62,33.50,38.52,12.11,-1.031,-0.068
139537,44.93,33.50,38.21,12.18,-0.986,-0.157
140041,37.89,34.38,37.73,12.27,-1.312,-0.024
140545,37.89,34.38,36.79,12.29,-1.016,0.036
141048,37.89,34.38,37.26,12.29,-1.060,0.021
141552,37.01,34.38,36.79,12.27,-1.075,0.036
142056,39.65,34.38,37.26,12.29,-1.045,0.036
142560,41.41,34.38,36.94,12.26,-1.045,-0.009
143064,38.77,34.38,36.79,12.29,-1.016,0.080
143567,37.01,34.38,37.26,12.27,-1.001,-0.024
144071,38.77,34.38,37.57,12.29,-1.045,0.051
144575,39.65,34.38,39.31,12.26,-1.016,0.006
145079,40.53,35.26,38.21,12.26,-1.016,0.021
145583,37.01,35.26,37.42,12.29,-1.016,0.036
146086,38.77,35.26,37.42,12.29,-1.060,0.021
146590,37.89,35.26,37.57,12.27,-1.031,0.036
147094,40.53,35.26,37.26,12.27,-1.031,0.051
147598,40.53,35.26,37.42,12.27,-1.031,0.021
148102,39.65,35.26,37.10,12.26,-1.016,0.036
148605,40.53,35.26,38.05,12.29,-1.031,0.006
149109,40.53,35.26,38.05,12.31,-1.016,-0.024
149613,38.77,35.26,37.57,12.29,-0.986,0.021
150117,39.65,35.26,37.57,12.26,-1.016,-0.009
150621,38.77,35.26,37.73,12.27,-1.060,0.021
151124,38.77,34.38,37.26,12.29,-1.001,0.006
151628,38.77,35.26,37.42,12.27,-1.016,-0.053
152132,37.89,35.26,37.73,12.31,-1.090,0.051
152636,38.77,34.38,37.26,12.31,-1.031,0.051
153140,40.53,35.26,38.05,12.27,-1.016,0.021
153644,37.89,35.26,37.73,12.31,-1.045,0.006
154147,38.77,34.38,37.89,12.29,-1.016,0.021
154651,37.89,35.26,37.42,12.27,-1.016,0.021
155155,41.41,35.26,37.57,12.26,-1.016,0.051
155659,38.77,34.38,37.73,12.31,-1.060,-0.024
156163,39.65,34.38,36.16,12.29,-1.045,-0.053
156666,40.53,35.26,37.89,12.26,-1.060,-0.009
157170,39.65,34.38,38.36,12.27,-1.060,-0.024
157674,40.53,33.50,39.15,12.22,-1.016,-0.024
158178,42.29,33.50,38.52,12.16,-0.764,-0.275
158682,39.65,34.38,38.36,12.29,-0.734,0.095
159185,38.77,34.38,37.42,12.31,-1.253,-0.083
159689,41.41,34.38,38.05,12.27,-1.075,0.095
160193,40.53,34.38,37.89,12.29,-0.986,0.080
160697,39.65,34.38,37.26,12.26,-0.957,-0.186
161201,39.65,34.38,37.42,12.26,-1.016,0.051
161704,37.01,34.38,37.57,12.27,-1.105,0.051
162208,40.53,33.50,36.00,12.40,-1.194,0.139
162712,39.65,34.38,38.05,12.27,-1.075,0.095
163216,41.41,34.38,37.10,12.26,-1.016,0.095
163720,40.53,34.38,37.42,12.29,-1.045,0.051
164224,41.41,34.38,37.57,12.26,-1.045,0.080
164727,39.65,34.38,37.73,12.26,-1.090,0.169
165231,38.77,33.50,37.42,12.27,-1.075,0.065
165735,40.53,34.38,37.42,12.27,-1.060,0.051
166239,39.65,34.38,37.73,12.26,-1.090,0.095
166743,41.41,34.38,38.21,12.27,-1.105,-0.112
167246,40.53,34.38,37.89,12.29,-1.090,-0.009
167750,39.65,34.38,37.89,12.27,-1.105,-0.068
168254,37.89,34.38,37.73,12.29,-1.120,-0.083
168758,38.77,33.50,37.57,12.26,-1.075,-0.024
169262,41.41,33.50,38.36,12.27,-1.090,-0.098
169765,40.53,34.38,37.42,12.27,-1.090,-0.053
170269,40.53,33.50,37.73,12.29,-1.060,-0.024
170773,38.77,33.50,38.05,12.29,-1.120,-0.083
171277,41.41,33.50,38.05,12.27,-1.134,-0.127
171781,37.89,34.38,37.89,12.31,-1.105,-0.083
172284,38.77,33.50,38.21,12.29,-1.120,-0.098
172788,37.01,33.50,37.89,12.31,-1.194,-0.024
173292,40.53,37.89,40.73,12.42,-1.238,-0.201
173796,22.94,35.26,40.73,11.96,-1.134,-0.379
174300,47.57,28.22,40.89,12.27,-1.208,-0.335
174803,38.77,33.50,37.57,12.27,-1.031,-0.261
175307,38.77,33.50,38.05,12.27,-1.105,-0.157
175811,39.65,33.50,38.21,12.29,-1.120,-0.083
176315,38.77,33.50,38.05,12.27,-1.134,-0.053
176819,40.53,34.38,37.10,12.29,-1.031,-0.083
177323,41.41,33.50,38.21,12.26,-1.075,-0.172
177826,39.65,33.50,38.05,12.29,-1.105,-0.186
178330,37.89,33.50,37.89,12.26,-1.045,-0.083
178834,39.65,33.50,38.36,12.26,-1.090,-0.083
179338,32.62,33.50,38.99,12.33,-1.149,-0.157
179842,38.77,33.50,37.73,12.27,-1.045,-0.083
180345,41.41,33.50,38.36,12.29,-1.090,-0.068
180849,40.53,33.50,37.73,12.27,-1.060,-0.053
181353,41.41,33.50,37.73,12.26,-1.090,-0.068
181857,38.77,33.50,38.52,12.31,-1.149,-0.112
182361,42.29,33.50,38.52,12.27,-1.075,-0.068
182864,40.53,33.50,38.52,12.27,-1.031,-0.068
183368,37.89,33.50,38.36,12.27,-1.090,0.006
183872,40.53,33.50,38.21,12.27,-1.060,0.006
184376,40.53,33.50,38.68,12.27,-1.164,-0.053
184880,32.62,33.50,39.78,12.46,-1.045,-0.157
185383,38.77,33.50,37.26,12.27,-1.060,-0.127
185887,39.65,33.50,38.68,12.29,-1.120,-0.098
186391,41.41,33.50,38.36,12.27,-1.075,-0.127
186895,38.77,33.50,36.63,12.27,-1.120,-0.083
187399,38.77,33.50,38.05,12.29,-1.105,-0.083
187902,41.41,33.50,37.89,12.27,-1.105,-0.068
188406,32.62,33.50,40.10,12.37,-1.164,-0.172
188910,51.97,29.10,37.42,12.22,-0.764,-0.261
189414,26.46,20.30,37.42,11.98,-1.238,-0.083
189918,32.62,25.58,36.63,11.85,-1.164,0.273
190422,49.33,33.50,37.73,12.37,-1.194,0.021
190925,39.65,33.50,41.20,12.27,-0.883,-0.038
191429,41.41,33.50,38.36,12.27,-1.134,-0.098
191933,38.77,33.50,38.36,12.31,-1.105,-0.083
192437,42.29,33.50,38.36,12.27,-1.075,-0.142
192941,41.41,33.50,37.89,12.26,-1.105,-0.112
193444,39.65,33.50,37.89,12.26,-1.105,-0.112
193948,40.53,33.50,37.89,12.27,-1.060,-0.112
194452,40.53,33.50,38.52,12.31,-1.105,-0.142
194956,39.65,33.50,37.89,12.29,-1.090,-0.127
195460,40.53,34.38,38.21,12.26,-1.075,-0.127
195963,40.53,34.38,38.36,12.27,-1.016,-0.335
196467,39.65,34.38,38.05,12.29,-1.120,-0.083
196971,39.65,34.38,38.21,12.29,-1.134,-0.112
197475,39.65,34.38,38.84,12.27,-1.045,-0.083
197979,39.65,34.38,38.05,12.27,-1.075,-0.083
198482,42.29,34.38,38.52,12.26,-1.090,-0.068
198986,40.53,34.38,38.05,12.27,-1.090,-0.172
199490,40.53,34.38,38.21,12.26,-1.075,-0.083
199994,39.65,34.38,38.52,12.26,-1.075,-0.098
200498,42.29,34.38,37.73,12.27,-1.090,-0.127
201001,39.65,34.38,38.68,12.29,-1.045,-0.112
201505,40.53,34.38,37.89,12.26,-1.075,-0.157
202009,40.53,34.38,38.52,12.27,-1.090,-0.112
202513,42.29,34.38,38.68,12.29,-1.149,-0.053
203017,42.29,34.38,38.68,12.27,-1.134,-0.127
203521,41.41,33.50,38.84,12.29,-1.105,-0.024
204024,39.65,34.38,38.99,12.29,-1.075,-0.142
204528,40.53,33.50,38.52,12.27,-1.134,-0.083
205032,42.29,33.50,38.99,12.27,-1.090,-0.098
205536,42.29,33.50,38.84,12.29,-1.120,-0.068
206040,40.53,34.38,38.52,12.26,-1.134,-0.024
206543,41.41,33.50,38.99,12.26,-1.060,-0.068
207047,39.65,33.50,38.52,12.27,-1.090,-0.098
207551,39.65,32.62,41.83,12.16,-1.105,-0.157
208055,49.33,31.74,38.68,12.31,-1.327,-0.246
208559,37.01,34.38,39.62,12.53,-1.282,-0.364
209062,48.45,47.57,40.41,12.04,-1.075,-0.364
209566,37.89,31.74,44.51,12.35,-1.460,-0.127
210070,40.53,33.50,38.99,12.27,-0.927,0.154
210574,40.53,33.50,38.84,12.27,-1.060,-0.216
211078,39.65,33.50,39.15,12.29,-0.957,-0.186
211581,39.65,33.50,39.31,12.26,-1.001,-0.083
212085,41.41,32.62,39.47,12.29,-0.957,-0.675
212589,39.65,33.50,39.31,12.29,-0.038,-0.764
213093,46.69,29.10,40.25,12.44,-0.157,0.687
213597,41.41,31.74,39.62,12.26,0.791,-1.179
214100,40.53,31.74,40.25,12.27,-0.527,-1.445
214604,41.41,32.62,39.47,12.24,-0.335,-1.845
215108,41.41,31.74,39.78,12.24,0.569,-1.534
215612,39.65,32.62,39.62,12.27,0.495,-0.527
216116,39.65,31.74,39.78,12.24,0.658,-0.971
216620,40.53,32.62,39.47,12.26,0.125,-0.868
217123,41.41,32.62,39.94,12.26,0.287,-0.971
217627,40.53,32.62,39.31,12.22,-0.423,-1.357
218131,42.29,32.62,39.94,12.22,0.021,-0.542
218635,46.69,29.10,40.10,12.40,0.036,-1.164
219139,42.29,32.62,40.10,12.27,0.613,-1.253
219642,41.41,32.62,40.10,12.20,0.613,-1.431
220146,41.41,32.62,40.10,12.20,-0.053,-1.431
220650,42.29,32.62,39.62,12.24,-0.127,-1.342
221154,41.41,32.62,40.10,12.22,-0.409,-1.238
221658,41.41,32.62,40.57,12.20,-0.320,-1.060
222161,42.29,32.62,39.94,12.20,-0.068,-0.883
222665,39.65,33.50,40.25,12.20,0.095,-0.764
223169,41.41,33.50,40.89,12.18,0.065,-0.809
223673,41.41,33.50,40.73,12.18,0.021,-0.868
224177,42.29,33.50,40.57,12.37,0.495,-0.320
224680,41.41,33.50,40.73,12.18,0.169,-0.897
225184,42.29,33.50,41.52,12.18,-0.038,-0.986
225688,41.41,33.50,41.04,12.18,0.051,-0.957
226192,42.29,33.50,41.04,12.18,0.154,-0.853
226696,45.81,34.38,42.78,12.37,0.228,-0.957
227200,30.86,35.26,46.88,12.31,0.228,-0.690
227703,57.25,32.62,47.35,11.94,-0.216,-1.164
228207,54.61,32.62,43.41,11.65,-0.098,-1.016
228711,37.89,32.62,40.10,12.42,0.228,-0.557
229215,40.53,34.38,41.83,12.13,0.317,-0.897
229719,42.29,34.38,41.83,12.15,0.169,-0.912
230222,36.13,33.50,42.78,12.26,0.406,-0.986
230726,41.41,34.38,42.62,12.15,-0.024,-0.897
231230,40.53,35.26,42.15,12.16,-0.275,-0.897
231734,41.41,35.26,42.46,12.15,0.036,-0.868
232238,42.29,35.26,42.62,12.09,0.154,-0.868
232741,42.29,35.26,42.94,12.11,-0.038,-0.942
233245,41.41,35.26,42.62,12.13,0.065,-0.897
233749,41.41,35.26,43.25,12.11,0.051,-0.853
234253,41.41,36.13,43.25,12.11,-0.083,-0.912
234757,41.41,36.13,43.57,12.05,-0.009,-0.897
235260,41.41,36.13,43.25,12.07,0.021,-0.897
235764,41.41,37.01,43.09,12.09,0.125,-0.883
236268,40.53,37.01,43.57,12.05,0.110,-0.838
236772,41.41,37.01,43.72,12.05,-0.053,-0.927
237276,42.29,37.01,43.72,12.07,0.006,-0.838
237779,41.41,37.01,43.88,12.07,0.080,-0.823
238283,39.65,37.01,44.20,11.85,0.317,-0.971
238787,49.33,41.41,45.77,11.89,0.080,-1.016
239291,31.74,32.62,44.20,11.94,-0.009,-1.031
239795,43.17,18.54,48.61,11.60,-0.098,-0.675
240299,42.29,37.89,41.83,12.24,0.391,-1.238
240802,40.53,37.89,44.20,12.05,0.006,-0.942
241306,25.58,35.26,43.72,12.05,0.199,-0.853
241810,41.41,37.89,44.04,12.04,-0.024,-0.912
242314,42.29,37.89,44.83,12.05,-0.009,-0.897
242818,42.29,38.77,44.20,12.04,0.006,-0.942
243321,40.53,38.77,44.20,12.02,-0.009,-0.883
243825,40.53,38.77,44.51,12.00,0.006,-0.823
244329,41.41,38.77,44.83,11.98,-0.053,-0.897
244833,41.41,38.77,44.98,12.00,0.051,-0.912
245337,42.29,38.77,44.67,11.98,0.080,-0.868
245840,40.53,39.65,44.83,11.98,0.095,-0.883
246344,40.53,39.65,44.83,11.98,0.051,-0.897
246848,40.53,39.65,44.98,12.00,-0.038,-0.897
247352,41.41,39.65,45.62,11.98,-0.038,-0.927
247856,42.29,39.65,44.98,11.98,-0.038,-0.897
